iteration,games_started,avg_loss,avg_game_length,wins,draws,nodes_expanded,avg_illegal_prob,acpl
0,261,2.4866805,22.2,5,0,4188925,0,0.0
1,272,2.500505,44.0625,16,0,8371574,0,0.0
2,321,2.5280745,69.47692,65,0,12515516,0,0.0
3,379,2.5387414,87.162605,123,0,16652064,0,0.0
4,413,2.5411787,93.382164,156,1,20802425,0,0.0
5,456,2.5606773,96.86,199,1,24917282,0,0.0
6,517,2.549398,101.24138,258,3,28985865,0,0.0
7,562,2.5478106,109.32353,292,14,33025856,0,0.0
8,604,2.5461695,114.094826,325,23,37053135,0,0.0
9,659,2.547142,119.39454,371,32,40994937,0,0.0
10,714,2.5282092,127.161575,409,49,44905742,0,0.0
11,766,2.5326807,130.21176,449,61,48818565,0,0.0
12,824,2.5342922,137.02113,487,81,52725111,0,0.0
13,886,2.5370274,137.6873,539,91,56632400,0,0.0
14,931,2.5312629,138.14519,577,98,60556706,0,0.0
15,977,2.5301592,138.8835,614,107,64474071,0,0.0
16,1017,2.5365798,139.01051,648,113,68380150,0,0.0
17,1065,2.5386677,140.70334,687,122,72266864,0,0.0
18,1119,2.5400026,141.48088,731,132,76125613,0,0.0
19,1164,2.5488188,141.70154,767,141,79993641,0,0.0
20,1219,2.529984,142.74248,808,155,83856611,0,0.0
21,1273,2.5301144,142.75615,851,166,87716484,0,0.0
22,1326,2.5289285,143.68785,888,182,91581190,0,0.0
23,1372,2.538271,144.44444,923,193,95454973,0,0.0
24,1415,2.5373082,144.19499,958,201,99324724,0,0.0
25,1475,2.5402486,144.85152,1010,209,103164502,0,0.0
26,1524,2.5269928,145.36751,1047,221,106989736,0,0.0
27,1566,2.5267253,145.44656,1081,229,110796625,0,0.0
28,1623,2.5390956,146.11119,1121,246,114594181,0,0.0
29,1667,2.5357854,146.07796,1157,254,118399991,0,0.0
30,1718,2.5333378,146.3632,1198,264,122198568,0,0.0
31,1771,2.5475101,146.79538,1239,276,125992496,0,0.0
32,1826,2.5353634,146.83759,1286,284,129783924,0,0.0
33,1875,2.5316553,146.59727,1324,295,133569583,0,0.0
34,1924,2.5436707,147.24341,1360,308,137338019,0,0.0
35,1977,2.5313787,146.76874,1408,313,141098905,0,0.0
36,2017,2.5370526,146.59227,1439,322,144869960,0,0.0
37,2062,2.52669,147.01108,1473,333,148625921,0,0.0
38,2109,2.533326,147.136,1511,342,152372644,0,0.0
39,2137,2.5374744,147.70813,1532,349,156131085,0,0.0
40,2181,2.5245204,148.15532,1561,364,159865655,0,0.0
41,2239,2.5392418,149.19969,1594,389,163600028,0,0.0
42,2285,2.5362816,149.41696,1630,399,167350597,0,0.0
43,2336,2.5196686,149.55336,1676,404,171067826,0,0.0
44,2374,2.526528,149.11945,1709,409,174789577,0,0.0
45,2423,2.5219522,149.90633,1741,426,178488316,0,0.0
46,2474,2.5234222,150.45175,1778,440,182184671,0,0.0
47,2535,2.5087762,150.21501,1828,451,185877313,0,0.0
48,2577,2.5219688,150.3882,1859,462,189587980,0,0.0
49,2621,2.5332239,150.16321,1895,470,193295679,0,0.0
50,2663,2.5211658,149.83507,1932,475,196980197,0,0.0
51,2702,2.51877,149.84137,1962,484,200671245,0,0.0
52,2752,2.5145566,150.43149,1992,504,204353060,0,0.0
53,2806,2.5187452,150.8655,2029,521,208039520,0,0.0
54,2857,2.5120788,150.89159,2069,532,211726225,0,0.0
