iteration,games_started,avg_loss,avg_game_length,wins,draws,nodes_expanded,avg_illegal_prob,acpl
0,256,7.908203,0.0,0,0,4193566,0.9038570031888736,0.0
1,256,7.6055503,0.0,0,0,8387798,0.8896120041807771,0.0
2,256,7.4965386,0.0,0,0,12577935,0.8906388037410904,0.0
3,256,7.6142764,0.0,0,0,16768861,0.9188461716350774,0.0
4,256,7.4345737,0.0,0,0,20673328,0.8597632927334142,0.0
5,334,7.406849,183.0,0,78,24673583,0.8685675622706164,0.0
6,496,7.267112,196.6,17,223,28729650,0.8359995796682937,0.0
7,501,7.273617,197.55919,17,228,32908431,0.8517911599584034,0.0
8,509,7.2971015,200.02371,17,236,37029443,0.8580243530790362,0.0
9,509,7.412391,200.02371,17,236,41222197,0.8844893977115179,0.0
10,518,7.453578,199.35115,24,238,45384444,0.8873056451792726,0.0
11,522,7.4473386,199.31955,27,239,49550021,0.8922864487826017,0.0
12,534,7.508181,198.93166,37,241,53696268,0.9005804198336939,0.0
13,539,7.546242,199.29681,38,245,57832868,0.905055452972738,0.0
14,557,7.5378056,202.95016,41,260,61936565,0.8941685167083511,0.0
15,631,7.4491305,222.48267,42,333,65990519,0.8685814069486997,0.0
16,682,7.4215293,234.83568,43,383,70043766,0.8574114238870103,0.0
17,716,7.388623,242.94783,47,413,74039731,0.8427801000764739,0.0
18,771,7.358412,256.25824,50,465,78017112,0.8340575779787163,0.0
19,779,7.4003797,255.13576,56,467,82045864,0.8415401281983016,0.0
20,791,7.4211645,254.24112,64,471,86021577,0.8468267853211164,0.0
21,841,7.4198313,249.80684,79,506,89970809,0.8399223786883122,0.0
22,865,7.448749,247.9491,84,525,93970433,0.8530911788567146,0.0
23,895,7.4358644,246.7543,95,544,97952715,0.8467758155122107,0.0
24,941,7.437295,246.2613,104,581,101927805,0.8445670749894363,0.0
25,975,7.449532,247.10849,110,609,105898953,0.8462214817041043,0.0
26,1001,7.477478,247.46175,116,629,109900437,0.8492200857533992,0.0
27,1036,7.4632072,248.1359,124,656,113877126,0.8454257629354334,0.0
28,1064,7.4490333,249.10272,130,678,117848149,0.8395049990686454,0.0
29,1096,7.442789,247.9762,135,705,121827096,0.8453251543786952,0.0
30,1125,7.4583526,248.09091,143,726,125816601,0.8439706746081554,0.0
31,1158,7.4661765,248.31264,151,751,129822954,0.8470032138272425,0.0
32,1187,7.4522476,247.74113,163,768,133788725,0.8396818889353757,0.0
33,1206,7.453758,247.81895,169,781,137738993,0.8393580535055811,0.0
34,1252,7.4364347,248.15361,175,821,141677773,0.8315712580986088,0.0
35,1286,7.4321165,248.52232,182,848,145630527,0.8374306374343359,0.0
36,1313,7.435511,248.49763,188,869,149582265,0.8338409345685714,0.0
37,1336,7.442262,248.58333,195,885,153552930,0.8400763747291667,0.0
38,1389,7.4248424,248.93645,208,925,157479785,0.831750779143668,0.0
39,1416,7.4587884,248.40776,218,942,161437890,0.8361386299677371,0.0
40,1442,7.4583297,248.1349,226,960,165374440,0.8342537226712015,0.0
41,1479,7.4758925,248.95584,230,993,169321074,0.8362495512142225,0.0
42,1517,7.4605875,247.9992,244,1017,173243787,0.832013719120588,0.0
43,1558,7.427186,248.02074,250,1052,177137174,0.8212408689326296,0.0
44,1584,7.435261,247.31024,259,1069,181042013,0.824933257096696,0.0
45,1609,7.4424834,247.14117,267,1086,184952375,0.8261754868275614,0.0
46,1649,7.4181504,246.52692,277,1116,188823351,0.8183416672495571,0.0
47,1685,7.4025197,245.86633,289,1140,192680712,0.8153421313249896,0.0
48,1725,7.4070506,245.38666,302,1167,196546271,0.8164561531775513,0.0
49,1753,7.4050994,245.51102,308,1189,200418705,0.8134698382990807,0.0
50,1777,7.4163246,245.15318,317,1204,204294317,0.8181651936128419,0.0
51,1810,7.389646,245.5058,325,1229,208132881,0.8078343057329194,0.0
52,1844,7.368273,244.96411,338,1250,211946385,0.8019869850397273,0.0
53,1871,7.3658495,244.85326,345,1270,215754537,0.8003809844084833,0.0
54,1898,7.3521147,244.85445,352,1290,219521454,0.7972662963151037,0.0
55,1921,7.3166375,245.24745,357,1308,223262470,0.7897729270708623,0.0
56,1959,7.3327203,244.78978,373,1330,227005816,0.7901886241869108,0.0
57,1993,7.305682,244.5429,380,1357,230732230,0.7868083863889869,0.0
58,2035,7.316779,244.43677,398,1381,234456119,0.7854296133915754,0.0
59,2053,7.3096676,244.16472,404,1393,238191686,0.7872065459431127,0.0
60,2094,7.29208,244.91893,412,1426,241895148,0.777791912889668,0.0
61,2111,7.2561083,244.97844,418,1437,245570287,0.7716702452336022,0.0
62,2140,7.2583942,245.1932,425,1459,249227660,0.7704871207747293,0.0
63,2173,7.252569,244.90819,438,1479,252879539,0.7704650391465891,0.0
64,2194,7.2797875,245.10991,442,1496,256552246,0.7763630794704534,0.0
65,2230,7.266193,245.154,449,1525,260236677,0.7738495117936137,0.0
66,2257,7.2503867,245.32133,455,1546,263924304,0.7719394067783972,0.0
67,2288,7.2507033,245.5812,462,1570,267598662,0.7743259591254672,0.0
68,2329,7.2350225,245.24698,476,1597,271247672,0.7664239693184447,0.0
69,2356,7.2325764,245.31285,483,1617,274894284,0.7671096266559809,0.0
70,2391,7.2286477,245.7246,492,1643,278563016,0.7689963543269487,0.0
71,2417,7.234831,245.23831,504,1657,282246782,0.7736465235119308,0.0
72,2447,7.234745,244.90872,513,1678,285914554,0.7691927568681856,0.0
73,2469,7.217831,244.93628,520,1693,289565316,0.7696511613525806,0.0
74,2506,7.1858106,244.712,530,1720,293164631,0.754920561092354,0.0
75,2538,7.1722074,244.67792,541,1741,296774049,0.7556240933842523,0.0
76,2560,7.163181,244.73654,546,1758,300396898,0.7542889449513828,0.0
77,2593,7.16468,244.89645,551,1786,303977851,0.7528455773594649,0.0
78,2616,7.1462693,244.73262,558,1802,307563468,0.7513278551477396,0.0
79,2653,7.1601663,244.86734,565,1832,311118127,0.7483094982932226,0.0
80,2682,7.1232944,244.90396,569,1857,314675534,0.7428699755126126,0.0
81,2710,7.123253,244.71883,578,1876,318242853,0.7453052271742309,0.0
82,2730,7.1289206,244.89168,580,1894,321827412,0.7518787200656681,0.0
83,2755,7.1019363,244.93277,586,1913,325377889,0.7431045541351841,0.0
84,2793,7.109211,245.3374,591,1946,328946441,0.7436880386081963,0.0
85,2818,7.096399,245.40437,598,1964,332519450,0.744597446138832,0.0
86,2842,7.0877466,245.56767,602,1984,336074698,0.7448461588299227,0.0
87,2875,7.0904922,245.72203,610,2009,339636469,0.7396318301178939,0.0
88,2908,7.0622425,245.6595,621,2031,343184503,0.7376001027391779,0.0
89,2937,7.0373516,245.44275,628,2053,346725709,0.7333365111503972,0.0
90,2977,7.0493765,245.27417,643,2078,350267814,0.7342433784916511,0.0
91,3000,7.036953,245.06342,652,2092,353782736,0.7295135058748227,0.0
92,3034,7.0135694,244.72823,665,2113,357285983,0.731694054872369,0.0
93,3062,7.0129294,244.99893,670,2136,360789853,0.7303590253697769,0.0
94,3088,6.970166,244.72528,680,2152,364265805,0.7213540695271892,0.0
95,3122,6.9552636,244.44452,694,2172,367715911,0.717499850225652,0.0
96,3147,6.955068,244.36769,702,2189,371171026,0.7170381255683523,0.0
97,3169,6.9448957,244.46446,706,2207,374645413,0.717671436718586,0.0
98,3202,6.913535,244.41615,715,2231,378086225,0.7137091264319836,0.0
99,3232,6.886257,244.47884,724,2252,381497952,0.7074499067329258,0.0
100,3263,6.8853955,244.31227,734,2273,384942427,0.710257612135345,0.0
101,3292,6.8601804,244.25,742,2294,388368749,0.7045734488230755,0.0
102,3325,6.828334,244.07722,757,2312,391768466,0.6903609744298069,0.0
103,3348,6.8376412,244.21022,762,2330,395185835,0.7005420225722705,0.0
104,3372,6.8298745,244.04942,772,2344,398607343,0.7025132967017593,0.0
105,3402,6.818671,244.1583,781,2365,402015886,0.7014606114402075,0.0
106,3432,6.799353,244.0951,789,2387,405411702,0.7028992290541444,0.0
107,3462,6.776744,244.14536,796,2410,408781603,0.6922156755725644,0.0
108,3483,6.753361,243.97862,804,2423,412146358,0.6839640657224755,0.0
109,3514,6.736729,243.99754,810,2448,415511245,0.6856585030490279,0.0
110,3542,6.717502,243.87553,818,2468,418880917,0.6861052567948601,0.0
111,3568,6.68354,243.70984,829,2483,422247751,0.6805511901003175,0.0
112,3597,6.680228,243.70009,835,2506,425586378,0.6746769667317253,0.0
113,3633,6.637469,243.84157,844,2533,428915642,0.6651220779596844,0.0
114,3658,6.6296835,243.94797,847,2555,432283948,0.6714070405549531,0.0
115,3679,6.6354146,243.86415,857,2566,435621853,0.6656915907384482,0.0
116,3709,6.6316047,243.7912,872,2581,438934243,0.6703467399563574,0.0
117,3728,6.615289,243.97466,876,2596,442247871,0.6711637612606719,0.0
118,3759,6.573587,243.97545,885,2618,445533554,0.6594192387095843,0.0
119,3783,6.5529003,243.9983,891,2636,448826721,0.6627975175477866,0.0
120,3820,6.5082927,243.91273,903,2661,452059780,0.648214138657801,0.0
121,3843,6.5084515,243.8974,911,2676,455286118,0.648687089700907,0.0
122,3879,6.493724,243.91388,920,2703,458500110,0.6464015888767698,0.0
123,3905,6.468831,243.79117,924,2725,461731005,0.6425762526903456,0.0
124,3925,6.4442935,243.81602,929,2740,464972591,0.6365404339820805,0.0
125,3950,6.400907,243.79724,937,2757,468208900,0.6327605467330826,0.0
126,3975,6.415385,243.67438,945,2774,471427414,0.6409736489409006,0.0
127,4003,6.3883314,243.59033,954,2793,474627819,0.6357785344302449,0.0
128,4028,6.355411,243.72853,959,2813,477821681,0.6273175055605966,0.0
129,4061,6.327197,243.53482,967,2838,480965761,0.619922766712007,0.0
130,4083,6.304035,243.52208,971,2856,484114869,0.619174389746058,0.0
131,4103,6.27366,243.56433,977,2870,487250391,0.6177058239718692,0.0
132,4130,6.2183337,243.77594,979,2895,490366509,0.6125815636566316,0.0
133,4161,6.2162857,243.60077,985,2920,493486845,0.6061481789720286,0.0
134,4185,6.197456,243.75363,989,2940,496597398,0.5996032039547262,0.0
135,4209,6.2046003,243.82545,993,2960,499715314,0.6106535603615385,0.0
136,4231,6.128386,243.67018,1002,2973,502821910,0.591885715691805,0.0
137,4258,6.12814,243.77611,1009,2993,505933118,0.5901406333994366,0.0
138,4279,6.109873,243.78001,1015,3008,509037793,0.5880352346831758,0.0
139,4306,6.0771794,243.76494,1024,3026,512134733,0.5880054004605951,0.0
140,4325,6.0245585,243.83067,1029,3040,515168410,0.5743940567709017,0.0
141,4583,4.5552807,19.0,1031,3040,519359200,0.8121838412857529,265.24875
142,4585,4.579438,34.0,1033,3040,523535043,0.7797005806682396,353.65125
143,4584,4.51685,23.666666,1032,3040,519360420,0.8009733327718428,152.9107
144,4586,4.53564,31.4,1034,3040,523535025,0.7726190489455812,228.38559
145,4592,4.47006,57.18182,1040,3040,527685023,0.7820736981882993,239.71465
146,4601,4.311709,81.65,1049,3040,531786928,0.7863188683405191,250.76541
147,4628,4.178128,116.78723,1076,3040,535861500,0.7750080661492513,253.38318
148,4649,4.0719886,133.60294,1086,3051,539933819,0.7358314278600367,264.0454
149,4689,4.0066566,157.09259,1094,3083,543977839,0.6980378747938023,240.43307
150,4735,3.9649909,180.76624,1098,3125,548008179,0.6554182027251921,242.47302
151,4781,3.919452,197.9,1104,3165,552026819,0.6242233188346703,245.14682
152,4823,3.8739169,209.58678,1110,3201,556047872,0.6106582498713892,243.94559
153,4853,3.8366954,215.27206,1119,3222,560078019,0.6068272822343556,239.62189
154,4882,3.7990477,217.33223,1128,3242,564106721,0.5862289336749865,251.20113
155,4917,3.762805,219.23215,1144,3261,568130729,0.5865011872175997,261.0668
156,4946,3.7449563,218.43835,1157,3277,572128105,0.5652504140330197,260.32388
157,4973,3.718147,219.76276,1168,3293,576120563,0.5612467453925484,257.60455
158,5007,3.6988492,220.71127,1177,3318,580082512,0.5560436148418313,250.15244
159,5031,3.6810007,221.88,1184,3335,584062989,0.5683356081992351,261.12967
160,5061,3.6649256,221.4375,1199,3350,588036585,0.5762505306885352,265.2372
161,5095,3.6578412,224.91634,1203,3380,592003473,0.5490350340108209,254.79022
162,5137,3.6343625,228.13669,1209,3416,595982778,0.5235915166447003,246.53835
163,5159,3.611543,229.44464,1216,3431,599934637,0.5336168619627932,277.2881
164,5199,3.5906816,231.96278,1228,3459,603867430,0.5084018268649896,269.09854
165,5231,3.5705993,232.33693,1240,3479,607793654,0.5172236738662054,255.92384
166,5252,3.5554914,232.93443,1244,3496,611700960,0.5029278673315274,253.13924
167,5285,3.5374691,232.34943,1254,3519,615581729,0.4766096133795344,255.0824
168,5318,3.5173266,233.60516,1262,3544,619443448,0.4667639168897144,246.7563
169,5346,3.5083253,233.44183,1273,3561,623273831,0.458291285729248,250.27162
170,5387,3.488132,232.24318,1291,3584,627068014,0.4263046521514411,239.23486
171,5418,3.4710865,233.08005,1298,3608,630863499,0.4393294680675402,240.95615
172,5450,3.46049,233.68239,1306,3632,634646317,0.4338945277537916,233.66307
173,5471,3.4486752,234.36629,1310,3649,638401392,0.4229512212572906,239.2149
174,5502,3.4316554,234.49837,1321,3669,642131096,0.4310827730977791,225.77373
175,5526,3.4256601,234.53122,1329,3685,645833909,0.4137674120208603,234.3655
176,5554,3.4147217,235.4923,1332,3710,649502298,0.411465079253425,236.77753
177,5581,3.3957152,235.451,1343,3726,653165810,0.4034141616941219,238.50595
178,5608,3.3779356,235.7702,1352,3744,656804283,0.4031717566637325,244.75397
179,5646,3.3571951,236.70142,1362,3772,660430165,0.3852341758356028,232.82245
180,5673,3.330352,237.19688,1373,3788,664054484,0.3801304358812872,237.01564
181,5712,3.3074863,237.86737,1382,3818,667660098,0.3524511493561666,239.51779
182,5733,3.2897727,237.83073,1389,3832,671261445,0.3754691967450216,257.76096
183,5761,3.2687335,238.10678,1400,3849,674834691,0.3441945891295874,262.34048
184,5778,3.2566967,238.58897,1404,3862,678368621,0.3206461696576508,259.33682
