iteration,games_started,avg_loss,avg_game_length,wins,draws,nodes_expanded,avg_illegal_prob,acpl
0,262,7.85307,22.5,6,0,4187793,0.898346072331982,0.0
1,272,7.613991,40.3125,15,1,8372065,0.8718414648266284,0.0
2,289,7.4986744,61.21212,32,1,12522123,0.865011181269873,0.0
3,326,7.404865,88.28571,64,6,16646549,0.8584346199043233,0.0
4,360,7.320517,102.69231,97,7,20755662,0.8511209412506645,0.0
5,388,7.2978888,113.09091,120,12,24864924,0.8492011975824427,0.0
6,429,7.24962,123.757225,152,21,28940927,0.8430396410052852,0.0
7,461,7.1998577,135.61464,173,32,32987610,0.8332007503827253,0.0
8,492,7.141273,146.77542,192,44,36988482,0.8199822877570622,0.0
9,523,7.1069317,154.17978,210,57,40938758,0.8082595043240743,0.0
10,564,7.0817604,164.3539,237,71,44878379,0.8041212415078868,0.0
11,579,7.051389,167.01547,248,75,48806746,0.8011791832332235,0.0
12,628,7.0139446,180.94086,268,104,52696707,0.793057765172138,0.0
13,652,6.9719696,181.2702,288,108,56540553,0.7767163663022922,0.0
14,670,6.9434657,184.19565,301,113,60344914,0.7710063790071965,0.0
15,695,6.929524,189.02505,313,126,64130999,0.7683300720112307,0.0
16,723,6.8748207,190.91649,332,135,67870738,0.7577539979561421,0.0
17,753,6.881631,196.07243,348,149,71602617,0.7540937614861171,0.0
18,781,6.863048,198.27238,367,158,75336307,0.752931428067253,0.0
19,816,6.860495,204.575,384,176,79071856,0.7524232607158818,0.0
20,836,6.8538084,207.46724,394,186,82812234,0.7531003052387011,0.0
21,861,6.846202,209.37355,412,193,86531098,0.7481538443466558,0.0
22,891,6.822687,210.44566,438,197,90225656,0.7451891061688306,0.0
23,919,6.803793,212.59729,457,206,93912559,0.7435992831966357,0.0
24,936,6.7686844,214.40588,467,213,97565441,0.7327405013429885,0.0
25,972,6.789501,218.58939,483,233,101205592,0.732879445289225,0.0
26,997,6.769412,219.24022,500,241,104845044,0.7329585995748409,0.0
27,1022,6.7666674,220.35509,516,250,108486272,0.7303726906787144,0.0
28,1056,6.7486405,222.5075,534,266,112119387,0.7288920723241492,0.0
29,1079,6.722908,222.73026,551,272,115729606,0.72592625187842,0.0
30,1100,6.714889,224.30095,561,283,119336695,0.7240065155076543,0.0
31,1126,6.703079,225.41954,575,295,122925336,0.7168295021329867,0.0
32,1151,6.697791,227.52849,586,309,126486674,0.7140602609459095,0.0
33,1178,6.670065,228.84491,604,318,130011386,0.7071140942442089,0.0
34,1200,6.6337543,229.28178,619,325,133508996,0.6975888940228848,0.0
35,1229,6.6174765,229.7441,635,338,136967262,0.6934830749321751,0.0
36,1254,6.5713162,230.36072,651,347,140370578,0.6832668191079091,0.0
37,1276,6.5469947,232.64314,658,362,143764460,0.6784350014746178,0.0
38,1299,6.524322,234.41707,665,378,147131886,0.6708690933160009,0.0
39,1315,6.49477,234.59584,673,386,150476694,0.6677124013635732,0.0
40,1331,6.467119,235.30511,680,395,153787224,0.661108387678472,0.0
41,1355,6.448638,235.66515,694,405,157070745,0.6561873918032822,0.0
42,1378,6.421087,236.79857,707,415,160315863,0.6450089171203329,0.0
43,1404,6.3731613,238.22038,720,428,163494054,0.6319604809425622,0.0
44,1428,6.3540864,239.30717,733,439,166657622,0.6281688035115198,0.0
45,1450,6.337123,239.8484,746,448,169792902,0.6227338378863637,0.0
46,1475,6.307289,239.77605,760,459,172874355,0.6111245105779923,0.0
47,1493,6.281516,241.5384,764,473,175903962,0.6019971498215333,0.0
48,1517,6.2698183,242.00952,777,484,178899663,0.5957891331208213,0.0
49,1535,6.238964,242.01564,788,491,181861115,0.589156577027655,0.0
50,1553,6.2181845,242.5744,799,498,184816404,0.5858174684588033,0.0
51,1579,6.1984267,242.58427,814,509,187739303,0.5786450844047005,0.0
52,1596,6.186316,242.92911,822,518,190650797,0.5761448655618545,0.0
53,1612,6.165069,243.55899,828,528,193515559,0.565831016411079,0.0
54,1629,6.1208115,244.05244,835,538,196318505,0.5525787787946327,0.0
55,1651,6.0953355,244.79929,846,549,199080828,0.5458091606511571,0.0
56,1669,6.023788,245.11253,853,560,201744049,0.5216154177988985,0.0
57,1686,5.990105,245.28043,860,570,204317476,0.506291742463304,0.0
58,1705,5.983598,245.57971,869,580,206873047,0.5030232888822209,0.0
59,1722,5.950448,245.71965,878,588,209396009,0.496930310084044,0.0
60,1742,5.93866,245.88896,890,596,211888598,0.4910440742235265,0.0
61,1759,5.934954,246.35396,898,605,214365821,0.4894521739862235,0.0
62,1771,5.9109225,246.95842,902,613,216817141,0.4837529076521359,0.0
63,1795,5.8736606,247.42496,914,625,219193319,0.4685733486696835,0.0
64,1811,5.847285,247.31705,922,633,221529676,0.4603165807057526,0.0
65,1818,5.8166504,247.42638,924,638,223812858,0.4503918787935141,0.0
66,1837,5.7780766,247.34851,933,648,226027068,0.4350866583117023,0.0
67,1848,5.7509923,247.67964,938,654,228192077,0.424410268444037,0.0
68,1858,5.711426,247.94507,942,660,230291004,0.4123777888496656,0.0
69,1871,5.678246,248.49597,946,669,232336102,0.4008129268090081,0.0
70,1886,5.631679,248.67485,952,678,234304479,0.3859595425178853,0.0
71,1898,5.586682,249.15042,954,688,236194882,0.3682074674384127,0.0
72,1911,5.565315,249.5136,960,695,238030648,0.3581574400173239,0.0
73,1922,5.5190578,249.88776,963,703,239792915,0.3429410219129286,0.0
74,1932,5.481628,250.34189,966,710,241494752,0.3318274015883455,0.0
75,1940,5.4524307,250.38005,971,713,243167215,0.3241276932804461,0.0
76,1947,5.4010406,250.6919,973,718,244764171,0.3097496959117284,0.0
77,1952,5.334005,250.60732,976,720,246274732,0.2908406088505099,0.0
78,1966,5.3079295,250.62924,984,726,247717301,0.2780564120899903,0.0
79,1975,5.251863,250.65096,989,730,249094031,0.2648124639496659,0.0
80,1984,5.196455,250.78877,993,735,250396703,0.2485798970086858,0.0
81,1996,5.1729817,250.92299,1000,740,251662497,0.2413739874842899,0.0
82,2002,5.1469817,251.15005,1001,745,252913396,0.2386373653821347,0.0
83,2012,5.125168,251.59111,1004,752,254132124,0.2304357808538474,0.0
84,2021,5.08616,251.6119,1008,757,255308146,0.2217936650009865,0.0
85,2027,5.0705214,251.42462,1012,759,256466595,0.219302008373254,0.0
86,2031,5.037193,251.40564,1015,760,257573760,0.2074409088354432,0.0
87,2036,4.985897,251.5809,1017,763,258584395,0.1920199823764493,0.0
88,2040,4.969718,251.70123,1020,764,259562723,0.1835484189268714,0.0
89,2046,4.9162536,251.68379,1023,767,260483265,0.1716460880261998,0.0
90,2051,4.892013,251.8323,1024,771,261351041,0.1608138731212672,0.0
91,2055,4.8686557,252.02612,1024,775,262169122,0.1507423195464456,0.0
92,2058,4.822124,252.20033,1024,778,262918865,0.1390739671152975,0.0
93,2062,4.7992187,252.36046,1025,781,263638264,0.1325708384164269,0.0
94,2068,4.779779,252.46082,1028,784,264306624,0.1232591777735055,0.0
95,2074,4.7601542,252.65842,1029,789,264941586,0.1161171568192148,0.0
96,2080,4.72634,252.7467,1032,792,265543410,0.1111633860845059,0.0
97,2084,4.7194004,252.83041,1035,793,266136228,0.1062118258096804,0.0
98,2087,4.707783,252.90988,1037,794,266690067,0.0992106271778661,0.0
99,2090,4.695678,252.87569,1038,796,267243954,0.100081484427355,0.0
100,2092,4.6955223,252.81863,1039,797,267797324,0.0988441282998396,0.0
101,2094,4.679905,252.93091,1039,799,268338322,0.0967105543964526,0.0
102,2098,4.656554,252.80836,1042,800,268852797,0.0925100154823541,0.0
103,2101,4.648682,252.88022,1043,802,269353832,0.0899846537375499,0.0
104,2104,4.641968,252.92479,1044,804,269840291,0.0875527605243601,0.0
105,2107,4.629869,252.95192,1045,806,270327367,0.0867403758135515,0.0
106,2111,4.607597,252.93692,1047,808,270760377,0.0781243052762242,0.0
107,2115,4.584843,253.13503,1048,811,271147286,0.0690902770802008,0.0
108,2116,4.5773535,253.21452,1048,812,271522375,0.0672668923943419,0.0
109,2119,4.561829,253.34889,1049,814,271883433,0.0656053832462797,0.0
110,2119,4.540394,253.34889,1049,814,272224825,0.0607899074656116,0.0
111,2119,4.532918,253.34889,1049,814,272518451,0.0525773278396371,0.0
112,2120,4.516323,253.37071,1050,814,272790175,0.0490659267364254,0.0
113,2120,4.486439,253.37071,1050,814,273016682,0.0399961567002082,0.0
114,2122,4.471693,253.44855,1051,815,273198142,0.0325257743630377,0.0
115,2123,4.462864,253.48901,1052,815,273377557,0.032076313235238,0.0
116,2124,4.455754,253.48608,1052,816,273556024,0.0316934903477115,0.0
117,2125,4.457847,253.565,1052,817,273735400,0.0322498555807147,0.0
118,2128,4.4355087,253.78206,1053,819,273900285,0.0285664559653818,0.0
119,2129,4.4237895,253.84837,1053,820,274055734,0.0273417765688767,0.0
120,2129,4.425161,253.84837,1053,820,274196241,0.0252890006094284,0.0
121,2129,4.42542,253.84837,1053,820,274326939,0.0231061932781216,0.0
122,2129,4.4142504,253.84837,1053,820,274457518,0.0233135783640729,0.0
123,2130,4.409649,253.8666,1053,821,274570200,0.0194996192787585,0.0
124,2131,4.387652,253.82133,1054,821,274653354,0.0145457760616121,0.0
125,2132,4.396945,253.80597,1054,822,274734523,0.0142022171117229,0.0
126,2132,4.3906035,253.80597,1054,822,274815745,0.0141091059987663,0.0
127,2132,4.382898,253.80597,1054,822,274897248,0.0141841259997193,0.0
128,2133,4.37528,253.8764,1055,822,274978613,0.0143064299885262,0.0
129,2134,4.3709507,253.92545,1055,823,275059952,0.0136488142944517,0.0
130,2134,4.381408,253.92545,1055,823,275141635,0.014210564477703,0.0
131,2134,4.367483,253.92545,1055,823,275222724,0.0142282710818391,0.0
132,2134,4.36873,253.92545,1055,823,275304378,0.014309558932328,0.0
133,2136,4.3634067,253.88936,1056,824,275384485,0.013444859606277,0.0
134,2136,4.369474,253.88936,1056,824,275465840,0.0141198383784174,0.0
135,2136,4.3671227,253.88936,1056,824,275547007,0.014544021856842,0.0
136,2136,4.348113,253.88936,1056,824,275605752,0.0101469048395441,0.0
137,2137,4.3340364,253.82297,1057,824,275637555,0.0050079221112111,0.0
138,2138,4.339283,253.76886,1058,824,275669805,0.0052301417667494,0.0
139,2138,4.337061,253.76886,1058,824,275702557,0.0055964050534538,0.0
140,2138,4.3305554,253.76886,1058,824,275735302,0.0056822640895651,0.0
141,2138,4.329081,253.76886,1058,824,275767845,0.005644001187134,0.0
142,2138,4.3321033,253.76886,1058,824,275800580,0.0058781990409046,0.0
143,2138,4.316434,253.76886,1058,824,275833219,0.0057284052368307,0.0
144,2138,4.3235474,253.76886,1058,824,275865226,0.0056757321626465,0.0
145,2138,4.325594,253.76886,1058,824,275894805,0.0053520524585937,0.0
146,2138,4.316256,253.76886,1058,824,275911022,0.0027811583720017,0.0
147,2138,4.321983,253.76886,1058,824,275927271,0.0028286688390786,0.0
148,2138,4.3063498,253.76886,1058,824,275943527,0.0027401697719913,0.0
149,2139,4.302233,253.84705,1058,825,275959595,0.0024060838912468,0.0
150,2139,4.3097434,253.84705,1058,825,275975976,0.0026341105502112,0.0
151,2139,4.304288,253.84705,1058,825,275992354,0.0027298970120093,0.0
152,2139,4.3031816,253.84705,1058,825,276008738,0.0027644086760215,0.0
153,2139,4.304271,253.84705,1058,825,276025081,0.0028038210846515,0.0
154,2139,4.3009014,253.84705,1058,825,276041426,0.0028820199875902,0.0
155,2139,4.292932,253.84705,1058,825,276057782,0.0028796497211095,0.0
156,2139,4.2878838,253.84705,1058,825,276073761,0.0029393135969178,0.0
157,2139,4.283167,253.84705,1058,825,276090000,0.0029295359000644,0.0
158,2139,4.2886724,253.84705,1058,825,276105891,0.002824033806339,0.0
159,2139,4.2827525,253.84705,1058,825,276121991,0.0030192004727466,0.0
160,2139,4.266552,253.84705,1058,825,276123353,0.0002512147548526,0.0
161,2139,4.2591553,253.84705,1058,825,276123353,0.0,0.0
162,2139,4.2552075,253.84705,1058,825,276123353,0.0,0.0
163,2139,4.245294,253.84705,1058,825,276123353,0.0,0.0
164,2139,4.242931,253.84705,1058,825,276123353,0.0,0.0
165,2139,4.23329,253.84705,1058,825,276123353,0.0,0.0
166,2139,4.2296257,253.84705,1058,825,276123353,0.0,0.0
167,2139,4.226837,253.84705,1058,825,276123353,0.0,0.0
168,2139,4.217863,253.84705,1058,825,276123353,0.0,0.0
169,2139,4.213516,253.84705,1058,825,276123353,0.0,0.0
170,2139,4.2074766,253.84705,1058,825,276123353,0.0,0.0
171,2139,4.2126317,253.84705,1058,825,276123353,0.0,0.0
172,2139,4.2133327,253.84705,1058,825,276123353,0.0,0.0
173,2139,4.2115684,253.84705,1058,825,276123353,0.0,0.0
174,2139,4.1969805,253.84705,1058,825,276123353,0.0,0.0
175,2139,4.2028775,253.84705,1058,825,276123353,0.0,0.0
176,2139,4.1941295,253.84705,1058,825,276123353,0.0,0.0
177,2139,4.204325,253.84705,1058,825,276123353,0.0,0.0
178,2139,4.200886,253.84705,1058,825,276123353,0.0,0.0
179,2139,4.1817546,253.84705,1058,825,276123353,0.0,0.0
180,2139,4.1918993,253.84705,1058,825,276123353,0.0,0.0
181,2139,4.19061,253.84705,1058,825,276123353,0.0,0.0
182,2139,4.1955557,253.84705,1058,825,276123353,0.0,0.0
183,2139,4.176383,253.84705,1058,825,276123353,0.0,0.0
184,2139,4.169664,253.84705,1058,825,276123353,0.0,0.0
185,2139,4.185175,253.84705,1058,825,276123353,0.0,0.0
186,2139,4.174497,253.84705,1058,825,276123353,0.0,0.0
187,2139,4.1784034,253.84705,1058,825,276123353,0.0,0.0
188,2139,4.1661444,253.84705,1058,825,276123353,0.0,0.0
189,2139,4.167688,253.84705,1058,825,276123353,0.0,0.0
190,2139,4.175328,253.84705,1058,825,276123353,0.0,0.0
191,2139,4.1615324,253.84705,1058,825,276123353,0.0,0.0
192,2139,4.1499906,253.84705,1058,825,276123353,0.0,0.0
193,2139,4.1667094,253.84705,1058,825,276123353,0.0,0.0
194,2139,4.1595025,253.84705,1058,825,276123353,0.0,0.0
195,2139,4.149209,253.84705,1058,825,276123353,0.0,0.0
196,2139,4.146758,253.84705,1058,825,276123353,0.0,0.0
197,2139,4.149554,253.84705,1058,825,276123353,0.0,0.0
198,2139,4.152516,253.84705,1058,825,276123353,0.0,0.0
199,2139,4.158043,253.84705,1058,825,276123353,0.0,0.0
200,2139,4.150508,253.84705,1058,825,276123353,0.0,0.0
201,2139,4.1512804,253.84705,1058,825,276123353,0.0,0.0
202,2139,4.149259,253.84705,1058,825,276123353,0.0,0.0
203,2139,4.142575,253.84705,1058,825,276123353,0.0,0.0
204,2139,4.1268926,253.84705,1058,825,276123353,0.0,0.0
205,2139,4.1299186,253.84705,1058,825,276123353,0.0,0.0
206,2139,4.124657,253.84705,1058,825,276123353,0.0,0.0
207,2139,4.126034,253.84705,1058,825,276123353,0.0,0.0
208,2139,4.1319785,253.84705,1058,825,276123353,0.0,0.0
209,2139,4.115105,253.84705,1058,825,276123353,0.0,0.0
210,2139,4.126575,253.84705,1058,825,276123353,0.0,0.0
211,2139,4.117551,253.84705,1058,825,276123353,0.0,0.0
212,2139,4.1135907,253.84705,1058,825,276123353,0.0,0.0
213,2139,4.12114,253.84705,1058,825,276123353,0.0,0.0
214,2139,4.1161513,253.84705,1058,825,276123353,0.0,0.0
215,2139,4.108951,253.84705,1058,825,276123353,0.0,0.0
216,2396,4.243312,12.0,1059,825,280314765,0.5955464317900935,248.16
217,2395,3.7527995,0.0,1058,825,280315693,0.4489177340088034,139.48523
218,2396,4.1604967,55.0,1059,825,284500149,0.5616019305017628,214.37909
219,2401,4.356183,77.166664,1064,825,288660195,0.5750684557502319,251.38824
