iteration,games_started,avg_loss,avg_game_length,wins,draws,nodes_expanded,avg_illegal_prob,acpl
0,263,2.4938521,28.142857,7,0,4180253,0,0.0
1,378,2.522052,47.18033,122,0,8260662,0,0.0
2,540,2.551427,54.84507,284,0,12313581,0,0.0
3,682,2.565179,56.260563,426,0,16386728,0,0.0
4,857,2.5692518,55.272877,601,0,20434196,0,0.0
5,995,2.571703,54.79567,739,0,24491367,0,0.0
6,1140,2.5605152,55.030544,884,0,28543098,0,0.0
7,1277,2.5567672,55.5857,1021,0,32594715,0,0.0
8,1384,2.577694,55.624115,1128,0,36660359,0,0.0
9,1532,2.5755017,56.79232,1275,1,40701905,0,0.0
10,1649,2.5823226,57.355347,1392,1,44736146,0,0.0
11,1784,2.5693986,57.922775,1527,1,48750188,0,0.0
12,1905,2.5870643,58.35294,1647,2,52738955,0,0.0
13,2039,2.5771203,58.825573,1780,3,56706986,0,0.0
14,2146,2.5932505,59.14074,1886,4,60653493,0,0.0
15,2287,2.5830357,59.60315,2025,6,64578662,0,0.0
16,2378,2.591691,59.803017,2116,6,68530076,0,0.0
17,2497,2.5877063,60.326195,2235,6,72468866,0,0.0
18,2613,2.5958424,60.955452,2350,7,76367979,0,0.0
19,2730,2.5863853,61.0194,2467,7,80232447,0,0.0
20,2846,2.5986173,61.30425,2583,7,84087271,0,0.0
21,2975,2.5827777,61.566753,2711,8,87929297,0,0.0
22,3089,2.5870748,61.705612,2824,9,91760860,0,0.0
23,3219,2.591428,61.79548,2953,10,95559595,0,0.0
24,3330,2.5882537,61.829865,3064,10,99343585,0,0.0
25,3441,2.57655,62.073784,3174,11,103119009,0,0.0
26,3558,2.5834105,62.13325,3291,11,106859228,0,0.0
27,3690,2.5836673,61.97554,3423,11,110558894,0,0.0
28,3802,2.5972738,61.98562,3535,11,114248302,0,0.0
29,3919,2.5915086,61.947857,3652,11,117921979,0,0.0
30,4029,2.585139,62.126423,3760,13,121593575,0,0.0
31,4140,2.5940812,62.257465,3870,14,125225606,0,0.0
32,4248,2.5990908,62.357464,3978,14,128833590,0,0.0
33,4355,2.5916488,62.551353,4084,15,132432419,0,0.0
34,4463,2.5989308,62.640125,4190,17,136031616,0,0.0
35,4601,2.5938385,62.60322,4328,17,139584834,0,0.0
36,4699,2.5912113,62.636505,4425,18,143152790,0,0.0
37,4809,2.6035585,62.65539,4534,19,146673653,0,0.0
38,4910,2.5850112,62.78943,4635,19,150198964,0,0.0
39,5003,2.6024458,62.90984,4725,22,153723102,0,0.0
40,5150,2.5914042,63.04393,4871,23,157205511,0,0.0
41,5260,2.5998778,62.89888,4981,23,160701444,0,0.0
42,5361,2.5961874,62.908913,5082,23,164176680,0,0.0
43,5453,2.5941927,62.95863,5174,23,167642926,0,0.0
44,5569,2.6066382,63.03049,5290,23,171108472,0,0.0
45,5668,2.5935874,63.172764,5388,24,174564089,0,0.0
46,5782,2.585602,63.061707,5501,25,177971911,0,0.0
47,5889,2.6089969,63.149654,5607,26,181375889,0,0.0
48,6004,2.5983632,63.06785,5721,27,184777517,0,0.0
49,6071,2.6034539,63.24196,5787,28,188180675,0,0.0
50,6201,2.5907583,63.23078,5917,28,191524766,0,0.0
51,6304,2.5929832,63.28373,6020,28,194883872,0,0.0
52,6416,2.5941813,63.22646,6130,30,198204530,0,0.0
53,6488,2.5897138,63.262836,6201,31,201508095,0,0.0
54,6617,2.593069,63.268196,6329,32,204757359,0,0.0
55,6713,2.595759,63.319035,6424,33,208013864,0,0.0
56,6822,2.6046152,63.39217,6531,35,211244675,0,0.0
57,6907,2.5983016,63.412117,6615,36,214473170,0,0.0
58,6988,2.6039462,63.496433,6696,36,217689455,0,0.0
59,7098,2.585237,63.56007,6805,37,220898934,0,0.0
60,7205,2.5995228,63.48568,6911,38,224081202,0,0.0
61,7292,2.6099987,63.572628,6997,39,227249280,0,0.0
62,7411,2.6110368,63.561565,7115,40,230377360,0,0.0
63,7502,2.607773,63.585564,7205,41,233519978,0,0.0
64,7580,2.6085255,63.593937,7283,41,236652719,0,0.0
65,7712,2.5906334,63.507107,7413,43,239736115,0,0.0
66,7782,2.6160488,63.564045,7482,44,242843991,0,0.0
67,7894,2.5922227,63.52697,7594,44,245913877,0,0.0
68,7981,2.617141,63.617603,7680,45,248972721,0,0.0
69,8087,2.6145666,63.55178,7786,45,252013219,0,0.0
70,8163,2.6062763,63.59049,7861,46,255062508,0,0.0
71,8268,2.6149907,63.585373,7966,46,258097764,0,0.0
72,8376,2.6059022,63.622906,8071,49,261140425,0,0.0
73,8469,2.6185925,63.589554,8164,49,264165508,0,0.0
74,8559,2.6206982,63.605324,8253,50,267197374,0,0.0
75,8639,2.6016216,63.62901,8331,52,270231610,0,0.0
76,8738,2.6177785,63.70408,8430,52,273249416,0,0.0
77,8836,2.611947,63.76247,8526,54,276272558,0,0.0
78,8917,2.624226,63.73167,8607,54,279296843,0,0.0
79,9003,2.6031303,63.816395,8690,57,282309078,0,0.0
80,9099,2.611465,63.90275,8786,57,285312394,0,0.0
