iteration,games_started,avg_loss,avg_game_length,wins,draws,nodes_expanded,avg_illegal_prob,acpl
0,265,7.859493,27.11111,9,0,4175417,0.8947958271226022,0.0
1,379,7.5285463,48.772358,123,0,8260587,0.8503500863019625,0.0
2,494,7.3731437,60.407562,238,0,12357375,0.8444414269193675,0.0
3,584,7.2447567,63.60671,327,1,16425557,0.832155059910159,0.0
4,685,7.2114515,66.96037,428,1,20476075,0.830287369294082,0.0
5,781,7.1665072,69.57143,523,2,24539486,0.8314136303197552,0.0
6,867,7.1381392,72.19967,609,2,28611134,0.8272368549156603,0.0
7,954,7.102812,73.557304,695,3,32679620,0.8248898419096549,0.0
8,1030,7.084309,75.674416,771,3,36740160,0.8183385845096943,0.0
9,1104,7.06198,77.73349,844,4,40766377,0.8124208331615616,0.0
10,1202,7.0528336,79.91966,941,5,44783220,0.8091231399025736,0.0
11,1277,7.0581264,81.005875,1016,5,48808772,0.8079526292165887,0.0
12,1353,7.048629,82.65998,1091,6,52833878,0.8094460100910721,0.0
13,1432,7.0152802,83.31718,1169,7,56824051,0.8013130018711948,0.0
14,1515,7.016161,84.51628,1251,8,60807518,0.8018986008411173,0.0
15,1586,6.996623,85.20602,1322,8,64779433,0.7982246561709018,0.0
16,1670,6.978817,86.0099,1406,8,68735732,0.794129111083055,0.0
17,1747,6.9699883,86.98323,1483,8,72694034,0.7930598036554011,0.0
18,1816,6.976022,87.566666,1552,8,76642189,0.791928190227985,0.0
19,1889,6.965247,88.13166,1625,8,80586901,0.7925407781791013,0.0
20,1970,6.95734,88.93874,1706,8,84517411,0.7898314316064409,0.0
21,2049,6.942731,89.557724,1783,10,88429011,0.7865174901608897,0.0
22,2124,6.917123,89.84476,1857,11,92310336,0.7784824627747892,0.0
23,2203,6.8914485,90.332306,1935,12,96185055,0.7732536415690957,0.0
24,2282,6.914898,90.75716,2014,12,100061244,0.7762869077175945,0.0
25,2355,6.8968425,91.24345,2087,12,103941764,0.7776162285325114,0.0
26,2425,6.916235,91.55371,2156,13,107823608,0.7769704255606279,0.0
27,2514,6.8946795,91.623116,2244,14,111697846,0.7738944312873502,0.0
28,2594,6.88978,91.88922,2324,14,115572141,0.7749445168694783,0.0
29,2668,6.8967323,91.90091,2398,14,119452461,0.7765429803258843,0.0
30,2741,6.8956165,92.34889,2470,15,123331531,0.7746145987095417,0.0
